numInputRows,numPredictionUnavailable,numCategoryTested,numScoreTested,observedAgreement,weightedAgreementLinear,expectedWeightedLinear,weightedKappaLinear,weightedAgreementQuadratic,expectedWeightedQuadratic,weightedKappaQuadratic,adjacentDisagreements,extremeDisagreements,diagonalAgreement,exactScoreAgreement,exactScoreAgreementRate,scoreWithin2,scoreWithin2Rate,scoreGreaterThan2,scoreGreaterThan2Rate
135,0,135,135,0.7185185185185186,0.8555555555555555,0.7891083676268862,0.31507740340835144,0.924074074074074,0.8910150891632374,0.30333543108873456,37,1,97,22,0.16296296296296298,88,0.6518518518518519,47,0.34814814814814815

Confusion Matrix (Reference -> Predicted)
,Predicted_Benign,Predicted_VUS,Predicted_Oncogenic
Reference_Benign,0,4,0
Reference_VUS,0,81,5
Reference_Oncogenic,1,28,16
